"ABA DE BANCO DE DADOS. NÃO ALTERAR. EM CASO DE NOVOS ÍTENS, PREENCHER CORRETAMENTE OS DADOS",,,,,,
,,,,,,
,,,,,,
ITEM,DESCRIÇÃO,FORNECEDOR,PART NUMBER ANUNCIO,VARIAÇÃO,ITENS POR VOLUME,Kg Unitário
1,BT GEL BETERRABA,DOBRO,FTTC79259,"BET, LIMÃO E CAFEÍNA",20,"0,30 Kg"
2,CARBS GEL,DOBRO,JMIE79445,NEUTRO FRESH,11,"0,30 Kg"
3,BT NITRATO PÓ,DOBRO,BILB12871,RED BERRY,6,"0,30 Kg"
4,BT GEL LIMÃO GENGIBRE,DOBRO,RABL13017,LIMÃO E GENGIBRE,11,"0,30 Kg"
5,HIDRA FRUTAS VERMELHAS,DOBRO,AIOW99135,FRUTAS VERMELHAS,10,"0,10 Kg"
6,BT NITRATO AÇAÍ,DOBRO,YMDS97657,450GR AÇAI,6,"0,30 Kg"
7,COLLAGEN PROTEIN BERRIES,PURAVIDA,VCEL30688,BERRIES,24,"0,48 Kg"
8,COLLAGEN PROTEIN NEUTRO,PURAVIDA,SMRL62029,NEUTRO,24,"0,48 Kg"
9,D3 SYNERGY PURAVIDA,PURAVIDA,IYST07858,60 CAPS,65,"0,16 Kg"
10,LINGUA DE GATO,PURAVIDA,GBVD44578,LINGUA DE GATO,22,"0,48 Kg"
11,OMEGA 3 AROMA LIMÃO,PURAVIDA,GZFD33923,AROMA LIMÃO 120CAPS,50,"0,48 Kg"
12,PRÓPOLIS VERDE PURAVIDA,PURAVIDA,LRKN08028,60 CAPS,65,"0,73 Kg"
13,SUPER OMEGA 3 DHA,PURAVIDA,KGLE40277,SEM SABOR 120CAPS,50,"0,48 Kg"
14,TRIMAG PURAVIDA,PURAVIDA,DSZJ08000,60 CAPS,65,"0,16 Kg"
15,VIT C PURAVIDA,PURAVIDA,SMNX61894,60 CAPS,65,"0,14 Kg"
16,COQUETELEIRA BRANCA,TRUE SOURCE,YBJP42287,600 ML BRANCA,40,"0,15 Kg"
17,COLAGEN PROTEIN CHOC,TRUE SOURCE,YBHQ35874,450GR CHOCO BELGA,5,"0,58 Kg"
18,COLAGEN PROTEIN RED BERRIES,TRUE SOURCE,RJPN42793,450GR RED BERRIES,5,"0,58 Kg"
19,COQUETELEIRA PRETA,TRUE SOURCE,QVAI42078,600 ML PRETA,40,"0,15 Kg"
20,CREATINA,TRUE SOURCE,ZRTB80652,SEM SABOR,12,"0,40 Kg"
21,CREATINA TRUE 300G.,TRUE SOURCE,ZRTB80652,SEM SABOR,12,"0,14 Kg"
22,DHA LIQUIDO LARANJA,TRUE SOURCE,FEDW75462,LARANJA,72,"0,10 Kg"
23,LIQUID IRON PLUS,TRUE SOURCE,BVHQ62334,NATURAL/MORANGO,72,"0,10 Kg"
24,MAGNESIO 3.0 CAPIM LIMÃO,TRUE SOURCE,YTRQ55955,CAPIM L/HORTELÃ E ERVA-DOCE,12,"0,46 Kg"
25,MAGNESIO 3.0 LARANJA & CAMOMILA,TRUE SOURCE,STUW93194,LARANJA & CAMOMILA,12,"0,46 Kg"
26,MAGNESIO 3.0 MARACUJA,TRUE SOURCE,QHWO92203,MARACUJA,12,"0,46 Kg"
27,NAC TRUE SOURCE,TRUE SOURCE,DDQN39019,600MG SEM SABOR,32,"0,10 Kg"
28,OMEGA+CURCUMA,TRUE SOURCE,GVEN82018,CÁPSULAS,32,"0,10 Kg"
29,TRUE CURCUMA,TRUE SOURCE,OKYI81336,CÁPSULAS,32,"0,10 Kg"
30,TRUE OMEGA 3 180 CAPS,TRUE SOURCE,ARLJ79743,CÁPSULAS,32,"0,30 Kg"
31,TRUE OMEGA 3 60 CAPS,TRUE SOURCE,YJIH11384,CÁPSULAS,32,"0,30 Kg"
32,TRUE VITAMINA C,TRUE SOURCE,TDZB58581, 1000MG 180 CAPS,32,"0,30 Kg"
33,TRUE WHEY ADVANCED CREAMY CHOCOLATE,TRUE SOURCE,QZFH96077,CREAMY CHOCOLATE,4,"1,00 Kg"
34,TRUE WHEY ADVANCED RED BERRIES,TRUE SOURCE,DYLI28254,RED BERRIES,4,"1,00 Kg"
35,TRUE WHEY ADVANCED VANILLA ICE CREAM,TRUE SOURCE,TVKG96083,VANILLA ICE CREAM,4,"1,00 Kg"
36,TRUE WHEY CHOC COM AVELÃ,TRUE SOURCE,CATI62249,CHOC COM AVELÃ,4,"1,00 Kg"
37,TRUE WHEY DARK CHOC,TRUE SOURCE,VIST29084,DARK CHOCOLATE,4,"1,00 Kg"
38,TRUE WHEY FIOR DI LATTE,TRUE SOURCE,FTTC36288,FLOR DI LATTE,4,"1,00 Kg"
39,TRUE WHEY YUMMY MILK,TRUE SOURCE,JDRB58974,YUMMY MILK,4,"1,00 Kg"
40,VITAMINA D LÍQUIDO,TRUE SOURCE,DTIN27987,BABY KIDS FRAMBOESA,72,"0,10 Kg"
41,WHEY VEGAN BANOFFEE CRISP,TRUE SOURCE,SEIC80407,BANOFFEE CRISP,4,"1,00 Kg"
42,WHEY VEGAN CHOC AVELÃ,TRUE SOURCE,LUKW80917,CHOC AVELÃ,4,"1,10 Kg"
43,WHEY VEGAN CHOCOL + COCO,TRUE SOURCE,YDDW81835,CHOCOL + COCO,4,"1,00 Kg"
44,WHEY VEGAN DOCE DE LEITE,TRUE SOURCE,BDKS07675,DOCE DE LEITE,4,"0,10 Kg"
45,COENZIMA Q10 200MG + VIT E | COQ-10,VITAFOR,PFAW40709,CÁPSULAS,6,"0,10 Kg"
